gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,512,1,full_cache,36.679,0.037,36.679,27.3,91.65,18779.64,512,1,18871.3,14417.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,1024,1,full_cache,36.861,0.103,36.861,27.1,164.3,18872.75,512,1,19037.05,14604.3,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,2048,1,full_cache,37.402,0.036,37.402,26.7,325.1,19150.03,512,1,19475.12,14977.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,4096,1,full_cache,38.328,0.022,38.328,26.1,653.08,19623.72,512,1,20276.79,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,full_cache,40.343,0.045,40.343,24.8,1365.94,20655.53,512,1,22021.47,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,16384,1,full_cache,44.38,0.014,44.38,22.5,2966.37,22722.64,512,1,25689.01,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,32768,1,full_cache,54.534,0.016,54.534,18.3,6904.72,27921.57,512,1,34826.29,26196.7,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,4096,1,full_cache,38.604,0.087,38.604,25.9,654.26,19765.35,512,1,20419.61,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,4096,1,window_512,39.162,0.023,39.162,25.5,653.03,20050.85,512,1,20703.88,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,4096,1,snapkv_512,39.362,0.055,39.362,25.4,652.95,20153.48,512,1,20806.43,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,4096,1,expected_attn_512,39.657,0.223,39.657,25.2,653.41,20304.63,512,1,20958.04,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,full_cache,40.247,0.022,40.247,24.8,1364.38,20606.6,512,1,21970.98,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,window_512,39.134,0.037,39.134,25.6,1364.27,20036.4,512,1,21400.66,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,snapkv_512,39.299,0.032,39.299,25.4,1362.35,20121.15,512,1,21483.5,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,expected_attn_512,39.819,0.033,39.819,25.1,1362.84,20387.46,512,1,21750.3,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,16384,1,full_cache,44.859,0.037,44.859,22.3,2964.65,22967.64,512,1,25932.29,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,16384,1,window_512,40.331,0.086,40.331,24.8,2958.04,20649.71,512,1,23607.75,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,16384,1,snapkv_512,40.675,0.085,40.675,24.6,2951.17,20825.64,512,1,23776.8,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,16384,1,expected_attn_512,41.259,0.215,41.259,24.2,2951.06,21124.69,512,1,24075.75,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,1,full_cache,40.51,0.389,40.51,24.7,1365.19,20741.28,512,1,22106.47,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA A40,A40,tiiuae/Falcon3-7B-Base,8192,4,full_cache,52.711,0.003,13.178,75.9,5382.52,26988.12,512,1,32370.64,26196.7,14911100928,114688,28,4,256,32768,flash_attention_2
