gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,512,1,full_cache,18.084,0.185,18.084,55.3,24.44,9258.77,512,1,9283.21,14439.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,1024,1,full_cache,18.113,0.163,18.113,55.2,36.17,9273.74,512,1,9309.92,14626.3,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,2048,1,full_cache,18.0,0.004,18.0,55.6,61.13,9216.08,512,1,9277.21,15000.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,4096,1,full_cache,18.144,0.057,18.144,55.1,124.95,9289.76,512,1,9414.71,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,full_cache,18.24,0.022,18.24,54.8,260.71,9338.73,512,1,9599.44,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,16384,1,full_cache,19.495,0.12,19.495,51.3,584.74,9981.33,512,1,10566.07,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,32768,1,full_cache,22.883,0.222,22.883,43.7,1481.71,11715.91,512,1,13197.62,26220.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,4096,1,full_cache,18.015,0.044,18.015,55.5,125.1,9223.86,512,1,9348.96,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,4096,1,window_512,20.59,0.486,20.59,48.6,125.52,10542.23,512,1,10667.75,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,4096,1,snapkv_512,20.596,0.136,20.596,48.6,125.24,10545.26,512,1,10670.51,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,4096,1,expected_attn_512,20.845,0.222,20.845,48.0,125.61,10672.49,512,1,10798.1,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,full_cache,18.033,0.105,18.033,55.5,258.74,9233.12,512,1,9491.86,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,window_512,20.495,0.102,20.495,48.8,258.26,10493.22,512,1,10751.48,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,snapkv_512,20.616,0.233,20.616,48.5,258.37,10555.52,512,1,10813.89,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,expected_attn_512,20.65,0.046,20.65,48.4,258.64,10572.62,512,1,10831.26,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,16384,1,full_cache,19.343,0.086,19.343,51.7,584.42,9903.55,512,1,10487.97,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,16384,1,window_512,20.512,0.075,20.512,48.8,582.91,10502.29,512,1,11085.21,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,16384,1,snapkv_512,20.563,0.078,20.563,48.6,584.49,10528.12,512,1,11112.61,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,16384,1,expected_attn_512,20.712,0.186,20.712,48.3,586.16,10604.3,512,1,11190.46,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,1,full_cache,17.812,0.041,17.812,56.1,256.76,9119.79,512,1,9376.55,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,4,full_cache,17.912,0.115,4.478,223.3,1043.05,9171.13,512,1,10214.19,26220.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,tiiuae/Falcon3-7B-Base,8192,16,full_cache,42.211,0.037,2.638,379.0,4234.64,21612.2,512,1,25846.84,62125.3,14911100928,114688,28,4,256,32768,flash_attention_2
