gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,512,1,full_cache,20.627,0.057,20.627,48.5,25.46,10561.18,512,1,10586.65,14439.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,1024,1,full_cache,20.435,0.094,20.435,48.9,37.05,10462.69,512,1,10499.74,14626.3,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,2048,1,full_cache,20.54,0.058,20.54,48.7,59.85,10516.58,512,1,10576.43,15000.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,4096,1,full_cache,20.585,0.061,20.585,48.6,122.13,10539.3,512,1,10661.43,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,full_cache,20.688,0.028,20.688,48.3,253.8,10592.41,512,1,10846.21,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,16384,1,full_cache,21.587,0.043,21.587,46.3,577.32,11052.7,512,1,11630.02,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,32768,1,full_cache,24.701,0.076,24.701,40.5,1471.31,12646.86,512,1,14118.17,26220.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,4096,1,full_cache,20.509,0.018,20.509,48.8,122.58,10500.59,512,1,10623.17,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,4096,1,window_512,22.834,0.023,22.834,43.8,123.32,11690.93,512,1,11814.25,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,4096,1,snapkv_512,23.054,0.063,23.054,43.4,122.99,11803.66,512,1,11926.65,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,4096,1,expected_attn_512,23.414,0.091,23.414,42.7,123.6,11987.97,512,1,12111.57,15748.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,full_cache,20.624,0.019,20.624,48.5,255.2,10559.6,512,1,10814.79,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,window_512,23.343,0.543,23.343,42.8,255.33,11951.42,512,1,12206.76,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,snapkv_512,23.624,0.131,23.624,42.3,255.58,12095.56,512,1,12351.14,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,expected_attn_512,23.59,0.23,23.59,42.4,254.87,12078.18,512,1,12333.05,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,16384,1,full_cache,21.743,0.027,21.743,46.0,576.57,11132.35,512,1,11708.92,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,16384,1,window_512,23.255,0.021,23.255,43.0,577.68,11906.7,512,1,12484.38,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,16384,1,snapkv_512,23.533,0.127,23.533,42.5,576.78,12048.78,512,1,12625.56,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,16384,1,expected_attn_512,23.651,0.027,23.651,42.3,581.82,12109.18,512,1,12691.01,20236.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,1,full_cache,20.856,0.045,20.856,47.9,255.41,10678.52,512,1,10933.92,17244.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,4,full_cache,19.112,0.036,4.778,209.3,1037.59,9785.2,512,1,10822.79,26220.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA H200,H200,tiiuae/Falcon3-7B-Base,8192,16,full_cache,38.557,0.042,2.41,415.0,4211.35,19741.34,512,1,23952.69,62125.3,14911100928,114688,28,4,256,32768,flash_attention_2
