gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,512,1,full_cache,31.258,0.057,31.258,32.0,53.42,16004.26,512,1,16057.68,14417.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,1024,1,full_cache,31.493,0.088,31.493,31.8,91.21,16124.28,512,1,16215.49,14604.3,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,2048,1,full_cache,32.005,0.015,32.005,31.2,176.92,16386.39,512,1,16563.31,14977.4,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,4096,1,full_cache,32.455,0.059,32.455,30.8,352.34,16616.91,512,1,16969.26,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,full_cache,34.0,0.167,34.0,29.4,784.62,17408.14,512,1,18192.76,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,16384,1,full_cache,36.412,0.043,36.412,27.5,1772.47,18642.69,512,1,20415.16,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,32768,1,full_cache,41.441,0.038,41.441,24.1,4118.97,21217.78,512,1,25336.75,26196.7,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,4096,1,full_cache,32.559,0.113,32.559,30.7,356.1,16670.27,512,1,17026.37,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,4096,1,window_512,33.237,0.024,33.237,30.1,353.77,17017.55,512,1,17371.32,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,4096,1,snapkv_512,33.437,0.049,33.437,29.9,350.8,17119.73,512,1,17470.52,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,4096,1,expected_attn_512,34.07,0.19,34.07,29.4,350.71,17443.6,512,1,17794.3,15724.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,full_cache,33.934,0.031,33.934,29.5,778.64,17374.42,512,1,18153.06,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,window_512,33.437,0.035,33.437,29.9,777.37,17119.75,512,1,17897.12,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,snapkv_512,33.659,0.031,33.659,29.7,782.6,17233.32,512,1,18015.92,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,expected_attn_512,33.972,0.023,33.972,29.4,784.03,17393.83,512,1,18177.86,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,16384,1,full_cache,36.684,0.188,36.684,27.3,1745.46,18781.98,512,1,20527.45,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,16384,1,window_512,33.772,0.027,33.772,29.6,1749.62,17291.25,512,1,19040.87,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,16384,1,snapkv_512,34.204,0.127,34.204,29.2,1748.93,17512.52,512,1,19261.45,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,16384,1,expected_attn_512,34.439,0.144,34.439,29.0,1756.05,17632.68,512,1,19388.73,20212.6,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,1,full_cache,34.057,0.066,34.057,29.4,777.28,17437.23,512,1,18214.51,17220.5,14911100928,114688,28,4,256,32768,flash_attention_2
NVIDIA L40S,L40S,tiiuae/Falcon3-7B-Base,8192,4,full_cache,40.225,0.003,10.056,99.4,3361.72,20595.22,512,1,23956.94,26196.7,14911100928,114688,28,4,256,32768,flash_attention_2
