gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,512,1,full_cache,14.676,0.093,14.676,68.1,22.57,7514.15,512,1,7536.71,2510.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,1024,1,full_cache,14.56,0.082,14.56,68.7,37.95,7454.68,512,1,7492.62,2653.2,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,2048,1,full_cache,14.786,0.254,14.786,67.6,71.2,7570.34,512,1,7641.54,2940.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,4096,1,full_cache,14.519,0.067,14.519,68.9,144.0,7433.66,512,1,7577.66,3512.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,8192,1,full_cache,14.828,0.64,14.828,67.4,297.31,7592.04,512,1,7889.35,4658.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,16384,1,full_cache,14.806,0.1,14.806,67.5,673.87,7580.45,512,1,8254.32,6950.4,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,32768,1,full_cache,17.189,0.261,17.189,58.2,1745.7,8800.79,512,1,10546.49,11534.5,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,65536,1,full_cache,22.034,0.413,22.034,45.4,5216.99,11281.58,512,1,16498.57,20702.8,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,131072,1,full_cache,33.768,0.058,33.768,29.6,17581.65,17289.32,512,1,34870.97,39039.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,4096,1,full_cache,14.306,0.158,14.306,69.9,143.75,7324.57,512,1,7468.31,3512.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,4096,1,window_512,15.651,0.131,15.651,63.9,143.4,8013.49,512,1,8156.89,3512.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,4096,1,snapkv_512,15.613,0.063,15.613,64.1,143.19,7993.73,512,1,8136.92,3512.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,4096,1,expected_attn_512,15.85,0.04,15.85,63.1,143.89,8115.05,512,1,8258.94,3512.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,8192,1,full_cache,14.376,0.094,14.376,69.6,298.23,7360.63,512,1,7658.86,4658.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,8192,1,window_512,15.644,0.119,15.644,63.9,299.71,8009.85,512,1,8309.56,4658.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,8192,1,snapkv_512,15.716,0.026,15.716,63.6,299.71,8046.69,512,1,8346.4,4658.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,8192,1,expected_attn_512,16.349,0.219,16.349,61.2,300.13,8370.75,512,1,8670.87,4658.3,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,16384,1,full_cache,15.116,0.183,15.116,66.2,675.2,7739.55,512,1,8414.74,6950.4,2471628800,32768,16,8,64,131072,flash_attention_2
NVIDIA A40,A40,meta-llama/Llama-3.2-1B,16384,1,window_512,16.051,0.565,16.051,62.3,675.76,8218.03,512,1,8893.79,6950.4,2471628800,32768,16,8,64,131072,flash_attention_2
