gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,512,1,full_cache,16.127,0.153,16.127,62.0,19.71,8257.16,512,1,8276.86,6345.4,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,1024,1,full_cache,15.889,0.039,15.889,62.9,24.31,8135.27,512,1,8159.58,6528.8,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,2048,1,full_cache,15.972,0.027,15.972,62.6,39.03,8177.44,512,1,8216.46,6898.4,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,4096,1,full_cache,15.967,0.021,15.967,62.6,76.47,8174.91,512,1,8251.38,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,8192,1,full_cache,16.055,0.038,16.055,62.3,157.16,8220.16,512,1,8377.32,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,16384,1,full_cache,17.549,0.019,17.549,57.0,367.44,8984.88,512,1,9352.32,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,32768,1,full_cache,20.856,0.027,20.856,47.9,975.41,10678.4,512,1,11653.81,17952.1,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,65536,1,full_cache,27.425,0.08,27.425,36.5,2938.97,14041.57,512,1,16980.54,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,131072,1,full_cache,40.911,0.162,40.911,24.4,10191.48,20946.23,512,1,31137.71,53328.8,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,4096,1,full_cache,16.019,0.389,16.019,62.4,76.29,8201.81,512,1,8278.1,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,meta-llama/Llama-3.2-3B,4096,1,window_512,17.933,0.223,17.933,55.8,76.99,9181.53,512,1,9258.53,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
