gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,512,1,full_cache,19.727,0.104,19.727,50.7,23.52,10100.25,512,1,10123.77,6345.4,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,1024,1,full_cache,19.294,0.036,19.294,51.8,25.69,9878.46,512,1,9904.14,6528.8,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,2048,1,full_cache,19.365,0.009,19.365,51.6,38.25,9914.93,512,1,9953.17,6898.4,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,4096,1,full_cache,19.309,0.004,19.309,51.8,74.52,9886.4,512,1,9960.92,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,full_cache,19.723,0.596,19.723,50.7,153.79,10097.95,512,1,10251.75,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,16384,1,full_cache,20.493,0.056,20.493,48.8,359.17,10492.6,512,1,10851.77,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,32768,1,full_cache,23.578,0.058,23.578,42.4,961.68,12071.97,512,1,13033.65,17952.1,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,65536,1,full_cache,29.817,0.078,29.817,33.5,2902.21,15266.41,512,1,18168.62,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,131072,1,full_cache,42.237,0.149,42.237,23.7,10077.96,21625.15,512,1,31703.11,53328.8,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,4096,1,full_cache,19.329,0.01,19.329,51.7,74.57,9896.4,512,1,9970.97,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,4096,1,window_512,21.63,0.021,21.63,46.2,75.25,11074.59,512,1,11149.84,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,4096,1,snapkv_512,21.793,0.029,21.793,45.9,75.25,11157.83,512,1,11233.09,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,4096,1,expected_attn_512,22.041,0.062,22.041,45.4,75.39,11285.14,512,1,11360.53,7633.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,full_cache,19.318,0.015,19.318,51.8,153.46,9891.06,512,1,10044.52,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,window_512,21.513,0.063,21.513,46.5,153.83,11014.82,512,1,11168.66,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,snapkv_512,21.663,0.008,21.663,46.2,153.87,11091.6,512,1,11245.48,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,expected_attn_512,21.945,0.017,21.945,45.6,154.07,11236.03,512,1,11390.1,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,16384,1,full_cache,20.339,0.016,20.339,49.2,358.8,10413.56,512,1,10772.36,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,16384,1,window_512,21.644,0.023,21.644,46.2,360.08,11081.82,512,1,11441.9,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,16384,1,snapkv_512,21.836,0.019,21.836,45.8,360.06,11179.93,512,1,11539.99,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,16384,1,expected_attn_512,22.081,0.016,22.081,45.3,360.71,11305.56,512,1,11666.27,12056.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,65536,1,full_cache,29.687,0.008,29.687,33.7,2898.42,15199.92,512,1,18098.34,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,65536,1,window_512,22.856,0.029,22.856,43.8,2896.02,11702.46,512,1,14598.49,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,65536,1,snapkv_512,23.08,0.027,23.08,43.3,2899.75,11817.08,512,1,14716.84,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,65536,1,expected_attn_512,23.392,0.021,23.392,42.8,2898.05,11976.59,512,1,14874.64,29744.3,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,1,full_cache,19.263,0.058,19.263,51.9,153.51,9862.4,512,1,10015.91,9107.9,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,4,full_cache,17.485,0.014,4.371,228.8,588.0,8952.47,512,1,9540.47,17952.1,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA H200,H200,meta-llama/Llama-3.2-3B,8192,16,full_cache,36.517,0.001,2.282,438.1,2437.58,18696.96,512,1,21134.53,53328.8,6425499648,114688,28,8,128,131072,flash_attention_2
