gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,512,1,full_cache,28.686,0.199,28.686,34.9,32.92,14687.35,512,1,14720.27,6322.4,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,1024,1,full_cache,28.46,0.037,28.46,35.1,44.92,14571.74,512,1,14616.66,6505.5,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,2048,1,full_cache,28.642,0.046,28.642,34.9,88.14,14664.91,512,1,14753.05,6874.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,4096,1,full_cache,29.011,0.496,29.011,34.5,178.23,14853.64,512,1,15031.87,7610.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,8192,1,full_cache,28.834,0.225,28.834,34.7,435.55,14763.14,512,1,15198.69,9084.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,16384,1,full_cache,30.953,0.258,30.953,32.3,1012.51,15847.81,512,1,16860.31,12032.1,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,32768,1,full_cache,35.148,0.095,35.148,28.5,2606.0,17995.76,512,1,20601.76,17928.2,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,65536,1,full_cache,49.601,0.013,49.601,20.2,7422.08,25395.64,512,1,32817.72,29720.5,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,4096,1,full_cache,28.879,0.287,28.879,34.6,179.45,14786.13,512,1,14965.58,7610.0,6425499648,114688,28,8,128,131072,flash_attention_2
NVIDIA L40S,L40S,meta-llama/Llama-3.2-3B,4096,1,window_512,31.857,0.257,31.857,31.4,178.99,16310.79,512,1,16489.79,7610.0,6425499648,114688,28,8,128,131072,flash_attention_2
