gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,512,1,full_cache,29.325,0.516,29.325,34.1,31.64,15014.24,512,1,15045.88,3116.4,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,1024,1,full_cache,29.512,0.792,29.512,33.9,35.97,15110.11,512,1,15146.08,3280.3,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,2048,1,full_cache,29.273,0.738,29.273,34.2,57.62,14987.79,512,1,15045.41,3608.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,28.758,0.202,28.758,34.8,107.13,14723.96,512,1,14831.09,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,29.226,0.133,29.226,34.2,202.64,14963.57,512,1,15166.2,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,29.405,1.056,29.405,34.0,420.72,15055.59,512,1,15476.31,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,32768,1,full_cache,29.499,0.567,29.499,33.9,1020.35,15103.45,512,1,16123.8,13441.0,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,28.522,0.035,28.522,35.1,104.78,14603.04,512,1,14707.83,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,4096,1,window_512,31.364,0.859,31.364,31.9,109.45,16058.26,512,1,16167.71,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-1.5B-Instruct,4096,1,snapkv_512,30.844,0.036,30.844,32.4,109.86,15792.05,512,1,15901.9,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
