gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,512,1,full_cache,18.402,0.706,18.402,54.3,22.65,9421.87,512,1,9444.53,3140.3,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,1024,1,full_cache,17.437,0.072,17.437,57.4,21.46,8927.56,512,1,8949.02,3304.2,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,2048,1,full_cache,17.643,0.165,17.643,56.7,24.94,9033.19,512,1,9058.12,3632.4,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,17.457,0.146,17.457,57.3,41.97,8937.76,512,1,8979.73,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,17.429,0.085,17.429,57.4,85.53,8923.52,512,1,9009.05,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,17.412,0.088,17.412,57.4,191.69,8914.77,512,1,9106.47,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,32768,1,full_cache,17.367,0.068,17.367,57.6,491.64,8891.78,512,1,9383.42,13464.7,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,17.291,0.038,17.291,57.8,42.02,8853.11,512,1,8895.13,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,4096,1,window_512,19.716,0.034,19.716,50.7,42.82,10094.5,512,1,10137.32,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,Qwen/Qwen2.5-1.5B-Instruct,4096,1,snapkv_512,19.7,0.063,19.7,50.8,42.74,10086.15,512,1,10128.89,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
