gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,512,1,full_cache,19.669,0.07,19.669,50.8,23.42,10070.55,512,1,10093.97,3140.3,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,1024,1,full_cache,19.733,0.114,19.733,50.7,23.96,10103.34,512,1,10127.3,3304.2,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,2048,1,full_cache,19.483,0.039,19.483,51.3,25.44,9975.45,512,1,10000.89,3632.4,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,19.659,0.193,19.659,50.9,40.99,10065.64,512,1,10106.63,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,19.532,0.063,19.532,51.2,82.81,10000.44,512,1,10083.25,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,19.485,0.081,19.485,51.3,186.41,9976.11,512,1,10162.53,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,32768,1,full_cache,19.491,0.006,19.491,51.3,483.4,9979.34,512,1,10462.74,13464.7,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,19.235,0.031,19.235,52.0,40.92,9848.07,512,1,9888.98,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,4096,1,window_512,21.405,0.064,21.405,46.7,41.81,10959.22,512,1,11001.03,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,4096,1,snapkv_512,21.641,0.011,21.641,46.2,41.84,11080.17,512,1,11122.01,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,4096,1,expected_attn_512,21.713,0.066,21.713,46.1,42.0,11117.24,512,1,11159.24,4288.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,19.485,0.259,19.485,51.3,83.01,9976.42,512,1,10059.44,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,window_512,21.447,0.074,21.447,46.6,83.58,10981.1,512,1,11064.68,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,snapkv_512,21.604,0.042,21.604,46.3,83.68,11061.43,512,1,11145.11,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,expected_attn_512,21.769,0.062,21.769,45.9,83.57,11145.95,512,1,11229.52,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,19.189,0.034,19.189,52.1,186.5,9824.57,512,1,10011.07,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,16384,1,window_512,21.386,0.03,21.386,46.8,186.96,10949.51,512,1,11136.47,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,16384,1,snapkv_512,21.523,0.058,21.523,46.5,187.12,11019.99,512,1,11207.11,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,16384,1,expected_attn_512,21.665,0.023,21.665,46.2,187.23,11092.44,512,1,11279.67,8220.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,19.054,0.011,19.054,52.5,82.89,9755.65,512,1,9838.54,5598.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,4,full_cache,18.998,0.033,4.75,210.5,294.64,9727.22,512,1,10021.87,13464.7,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-1.5B-Instruct,8192,16,full_cache,18.948,0.019,1.184,844.4,1210.46,9701.47,512,1,10911.94,44929.4,3087428608,28672,28,2,128,32768,flash_attention_2
