gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,512,1,full_cache,29.916,0.373,29.916,33.4,32.51,15317.15,512,1,15349.66,3116.4,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,1024,1,full_cache,29.299,0.238,29.299,34.1,32.54,15001.17,512,1,15033.7,3280.3,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,2048,1,full_cache,30.047,0.307,30.047,33.3,47.64,15383.81,512,1,15431.45,3608.5,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,29.377,0.342,29.377,34.0,95.94,15041.21,512,1,15137.15,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,29.848,0.298,29.848,33.5,217.7,15281.94,512,1,15499.64,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,29.413,0.199,29.413,34.0,525.68,15059.68,512,1,15585.36,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,32768,1,full_cache,29.5,0.32,29.5,33.9,1300.24,15103.83,512,1,16404.07,13441.0,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,4096,1,full_cache,29.211,0.121,29.211,34.2,95.57,14956.17,512,1,15051.74,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,4096,1,window_512,31.434,0.486,31.434,31.8,97.6,16094.04,512,1,16191.64,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,4096,1,snapkv_512,31.27,0.172,31.27,32.0,97.59,16010.32,512,1,16107.91,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,4096,1,expected_attn_512,31.701,0.263,31.701,31.5,96.56,16230.88,512,1,16327.44,4264.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,29.065,0.466,29.065,34.4,216.61,14881.21,512,1,15097.82,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,window_512,31.012,0.14,31.012,32.2,216.36,15878.0,512,1,16094.36,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,snapkv_512,31.47,0.715,31.47,31.8,218.06,16112.79,512,1,16330.85,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,expected_attn_512,31.369,0.392,31.369,31.9,217.17,16061.06,512,1,16278.23,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,16384,1,full_cache,29.754,0.475,29.754,33.6,521.75,15233.89,512,1,15755.64,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,16384,1,window_512,31.527,0.405,31.527,31.7,522.81,16141.79,512,1,16664.6,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,16384,1,snapkv_512,31.268,0.347,31.268,32.0,521.16,16009.34,512,1,16530.49,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,16384,1,expected_attn_512,31.943,0.577,31.943,31.3,520.85,16354.97,512,1,16875.82,8196.9,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,1,full_cache,28.958,0.141,28.958,34.5,216.28,14826.47,512,1,15042.75,5574.8,3087428608,28672,28,2,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-1.5B-Instruct,8192,4,full_cache,27.453,0.519,6.863,145.7,943.24,14055.91,512,1,14999.15,13440.8,3087428608,28672,28,2,128,32768,flash_attention_2
