gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,512,1,full_cache,39.703,0.955,39.703,25.2,43.02,20328.06,512,1,20371.08,6062.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,1024,1,full_cache,40.195,0.984,40.195,24.9,61.72,20579.85,512,1,20641.57,6230.8,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,2048,1,full_cache,40.359,1.042,40.359,24.8,102.9,20663.56,512,1,20766.46,6568.1,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,40.047,0.655,40.047,25.0,179.67,20504.07,512,1,20683.75,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,39.718,0.369,39.718,25.2,342.41,20335.87,512,1,20678.28,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,39.386,0.594,39.386,25.4,737.94,20165.6,512,1,20903.55,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,32768,1,full_cache,39.195,0.801,39.195,25.5,1815.6,20067.9,512,1,21883.5,16670.3,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,40.034,0.436,40.034,25.0,183.06,20497.37,512,1,20680.44,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,4096,1,window_512,44.017,1.355,44.017,22.7,178.02,22536.6,512,1,22714.62,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,4096,1,snapkv_512,42.633,0.931,42.633,23.5,183.91,21828.33,512,1,22012.24,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,4096,1,expected_attn_512,42.584,0.311,42.584,23.5,178.81,21802.98,512,1,21981.79,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,40.214,0.995,40.214,24.9,342.74,20589.61,512,1,20932.36,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,window_512,43.678,1.286,43.678,22.9,343.56,22362.89,512,1,22706.45,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,snapkv_512,43.391,0.5,43.391,23.0,356.04,22216.45,512,1,22572.49,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,expected_attn_512,43.696,0.363,43.696,22.9,358.4,22372.39,512,1,22730.78,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,39.144,0.667,39.144,25.5,740.92,20041.72,512,1,20782.64,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,16384,1,window_512,43.119,0.658,43.119,23.2,764.25,22076.86,512,1,22841.11,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,16384,1,snapkv_512,44.105,1.079,44.105,22.7,767.18,22581.78,512,1,23348.96,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,16384,1,expected_attn_512,43.7,0.791,43.7,22.9,761.56,22374.47,512,1,23136.03,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,39.527,1.294,39.527,25.3,340.97,20237.63,512,1,20578.6,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,4,full_cache,37.809,0.621,9.452,105.8,1256.02,19358.42,512,1,20614.44,16670.3,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,Qwen/Qwen2.5-3B-Instruct,8192,16,full_cache,37.291,0.698,2.331,429.1,5031.23,19092.88,512,1,24124.11,48999.1,6171877376,36864,36,2,128,32768,flash_attention_2
