gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,512,1,full_cache,32.86,0.418,32.86,30.4,55.84,16824.11,512,1,16879.95,6062.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,1024,1,full_cache,32.75,0.247,32.75,30.5,93.12,16768.07,512,1,16861.19,6230.8,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,2048,1,full_cache,32.352,0.347,32.352,30.9,174.8,16563.99,512,1,16738.79,6568.1,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,31.97,0.413,31.97,31.3,343.03,16368.89,512,1,16711.93,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,31.76,0.058,31.76,31.5,714.55,16261.14,512,1,16975.69,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,31.658,0.079,31.658,31.6,1607.93,16209.15,512,1,17817.08,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,32768,1,full_cache,33.156,0.163,33.156,30.2,4111.33,16975.64,512,1,21086.97,16670.3,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,33.353,0.935,33.353,30.0,340.97,17076.62,512,1,17417.6,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,4096,1,window_512,35.182,0.17,35.182,28.4,343.7,18013.33,512,1,18357.03,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,4096,1,snapkv_512,35.58,0.193,35.58,28.1,343.73,18216.98,512,1,18560.7,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,4096,1,expected_attn_512,35.852,0.268,35.852,27.9,343.81,18356.23,512,1,18700.04,7242.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,31.745,0.541,31.745,31.5,714.95,16253.43,512,1,16968.38,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,window_512,33.627,0.098,33.627,29.7,719.2,17217.03,512,1,17936.23,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,snapkv_512,34.833,1.541,34.833,28.7,720.68,17834.53,512,1,18555.21,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,expected_attn_512,35.04,0.082,35.04,28.5,720.51,17940.52,512,1,18661.04,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,32.013,0.404,32.013,31.2,1607.6,16390.62,512,1,17998.22,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,16384,1,window_512,33.974,0.152,33.974,29.4,1608.93,17394.71,512,1,19003.65,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,16384,1,snapkv_512,34.365,0.146,34.365,29.1,1613.26,17594.76,512,1,19208.02,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,16384,1,expected_attn_512,34.6,0.051,34.6,28.9,1611.13,17715.42,512,1,19326.55,11282.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,31.124,0.115,31.124,32.1,716.15,15935.27,512,1,16651.42,8588.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA A40,A40,Qwen/Qwen2.5-3B-Instruct,8192,4,full_cache,28.542,0.143,7.135,140.1,2828.16,14613.46,512,1,17441.63,16670.3,6171877376,36864,36,2,128,32768,flash_attention_2
