gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,512,1,full_cache,25.651,0.124,25.651,39.0,30.62,13133.55,512,1,13164.17,6086.3,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,1024,1,full_cache,25.588,0.158,25.588,39.1,31.29,13101.06,512,1,13132.35,6254.7,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,2048,1,full_cache,25.302,0.243,25.302,39.5,38.55,12954.76,512,1,12993.31,6592.0,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,24.787,0.01,24.787,40.3,70.28,12691.11,512,1,12761.39,7266.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,24.792,0.028,24.792,40.3,143.44,12693.25,512,1,12836.69,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,24.683,0.014,24.683,40.5,329.58,12637.69,512,1,12967.27,11306.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,32768,1,full_cache,25.122,0.089,25.122,39.8,857.82,12862.64,512,1,13720.47,16694.2,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,4096,1,full_cache,24.769,0.039,24.769,40.4,70.08,12681.61,512,1,12751.68,7266.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,4096,1,window_512,27.819,0.063,27.819,35.9,71.06,14243.12,512,1,14314.18,7266.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,4096,1,snapkv_512,27.964,0.042,27.964,35.8,71.15,14317.56,512,1,14388.7,7266.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,4096,1,expected_attn_512,28.259,0.032,28.259,35.4,71.23,14468.53,512,1,14539.75,7266.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,24.82,0.033,24.82,40.3,143.95,12707.7,512,1,12851.64,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,window_512,27.775,0.026,27.775,36.0,144.71,14220.91,512,1,14365.62,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,snapkv_512,28.034,0.068,28.034,35.7,144.24,14353.19,512,1,14497.44,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,expected_attn_512,28.31,0.023,28.31,35.3,144.72,14494.88,512,1,14639.6,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,16384,1,full_cache,24.816,0.023,24.816,40.3,330.62,12705.88,512,1,13036.5,11306.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,16384,1,window_512,27.797,0.004,27.797,36.0,331.39,14231.89,512,1,14563.28,11306.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,16384,1,snapkv_512,28.027,0.042,28.027,35.7,331.99,14349.98,512,1,14681.97,11306.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,16384,1,expected_attn_512,28.257,0.039,28.257,35.4,330.96,14467.36,512,1,14798.31,11306.6,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,1,full_cache,24.836,0.012,24.836,40.3,143.73,12716.16,512,1,12859.89,8612.5,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,4,full_cache,24.239,0.052,6.06,165.0,541.37,12410.36,512,1,12951.73,16694.2,6171877376,36864,36,2,128,32768,flash_attention_2
NVIDIA H200,H200,Qwen/Qwen2.5-3B-Instruct,8192,16,full_cache,24.28,0.062,1.517,659.0,2225.59,12431.19,512,1,14656.78,49023.0,6171877376,36864,36,2,128,32768,flash_attention_2
