gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,512,1,full_cache,30.798,0.079,30.798,32.5,55.04,15768.79,512,1,15823.83,14713.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,1024,1,full_cache,30.851,0.036,30.851,32.4,92.88,15795.93,512,1,15888.82,14894.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,2048,1,full_cache,30.953,0.012,30.953,32.3,172.84,15847.97,512,1,16020.81,15255.2,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,4096,1,full_cache,31.332,0.023,31.332,31.9,357.4,16041.84,512,1,16399.24,15974.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,32.046,0.044,32.046,31.2,814.48,16407.49,512,1,17221.97,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,16384,1,full_cache,33.858,0.072,33.858,29.5,1804.11,17335.43,512,1,19139.54,20293.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,32768,1,full_cache,36.088,0.014,36.088,27.7,4314.02,18476.87,512,1,22790.89,26054.0,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,4096,1,full_cache,31.632,0.241,31.632,31.6,362.73,16195.41,512,1,16558.14,15974.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,4096,1,window_512,33.079,0.164,33.079,30.2,361.55,16936.28,512,1,17297.84,15974.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,4096,1,snapkv_512,33.012,0.032,33.012,30.3,359.8,16902.35,512,1,17262.16,15974.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,4096,1,expected_attn_512,33.39,0.028,33.39,29.9,358.73,17095.83,512,1,17454.56,15974.7,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,32.162,0.027,32.162,31.1,816.05,16467.02,512,1,17283.06,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,window_512,33.085,0.018,33.085,30.2,817.38,16939.28,512,1,17756.66,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,snapkv_512,33.298,0.072,33.298,30.0,815.97,17048.8,512,1,17864.77,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,expected_attn_512,33.448,0.007,33.448,29.9,820.5,17125.33,512,1,17945.83,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,16384,1,full_cache,33.704,0.051,33.704,29.7,1816.09,17256.66,512,1,19072.74,20293.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,16384,1,window_512,33.621,0.274,33.621,29.7,1811.44,17213.92,512,1,19025.36,20293.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,16384,1,snapkv_512,33.501,0.028,33.501,29.8,1793.85,17152.58,512,1,18946.43,20293.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,16384,1,expected_attn_512,33.682,0.044,33.682,29.7,1801.71,17245.33,512,1,19047.04,20293.9,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,1,full_cache,32.177,0.072,32.177,31.1,813.59,16474.39,512,1,17287.98,17413.8,15231233024,57344,28,4,128,32768,flash_attention_2
NVIDIA L40S,L40S,Qwen/Qwen2.5-7B-Instruct,8192,4,full_cache,30.359,0.001,7.59,131.8,3423.87,15543.82,512,1,18967.69,26054.0,15231233024,57344,28,4,128,32768,flash_attention_2
