gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,512,1,full_cache,25.534,0.676,25.534,39.2,28.94,13073.16,512,1,13102.1,3468.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,1024,1,full_cache,26.07,0.936,26.07,38.4,38.3,13347.8,512,1,13386.1,3566.4,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,1,full_cache,27.955,0.871,27.955,35.8,65.07,14312.97,512,1,14378.04,3856.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,full_cache,25.539,0.218,25.539,39.2,103.82,13075.95,512,1,13179.78,4440.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,27.237,0.221,27.237,36.7,208.97,13945.14,512,1,14154.11,5608.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,full_cache,26.088,0.096,26.088,38.3,103.7,13357.17,512,1,13460.87,4440.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,window_512,27.488,0.389,27.488,36.4,122.44,14074.1,512,1,14196.55,4440.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,snapkv_512,27.506,0.326,27.506,36.4,122.46,14082.88,512,1,14205.34,4440.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,expected_attn_512,27.127,0.217,27.127,36.9,121.73,13888.96,512,1,14010.69,4440.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,27.211,0.218,27.211,36.7,210.03,13932.25,512,1,14142.28,5608.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,window_512,27.382,0.298,27.382,36.5,241.63,14019.39,512,1,14261.02,5608.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,snapkv_512,28.295,0.437,28.295,35.3,226.06,14486.79,512,1,14712.85,5608.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,expected_attn_512,27.358,0.078,27.358,36.6,237.06,14007.41,512,1,14244.48,5608.7,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,27.015,0.204,27.015,37.0,208.97,13831.63,512,1,14040.59,5608.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,4,full_cache,31.503,0.005,7.876,127.0,808.33,16129.73,512,1,16938.06,12617.4,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,16,full_cache,111.592,0.009,6.975,143.4,3234.58,57135.14,512,1,60369.72,40652.7,3422752768,196608,24,32,64,8192,flash_attention_2
