gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,512,1,full_cache,13.634,0.073,13.634,73.3,16.23,6980.42,512,1,6996.65,3492.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,1024,1,full_cache,13.515,0.034,13.515,74.0,17.67,6919.61,512,1,6937.28,3590.3,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,1,full_cache,13.549,0.011,13.549,73.8,24.86,6937.26,512,1,6962.12,3880.4,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,full_cache,13.559,0.054,13.559,73.8,48.46,6942.32,512,1,6990.78,4464.4,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,14.95,0.047,14.95,66.9,103.32,7654.61,512,1,7757.93,5632.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,full_cache,13.488,0.014,13.488,74.1,48.28,6905.93,512,1,6954.21,4464.4,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,window_512,15.484,0.051,15.484,64.6,48.98,7927.66,512,1,7976.64,4464.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,snapkv_512,15.6,0.043,15.6,64.1,48.86,7986.96,512,1,8035.81,4464.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,1,expected_attn_512,15.738,0.035,15.738,63.5,48.83,8058.1,512,1,8106.93,4464.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,15.095,0.003,15.095,66.2,103.16,7728.85,512,1,7832.01,5632.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,window_512,15.572,0.032,15.572,64.2,103.07,7972.82,512,1,8075.89,5632.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,snapkv_512,15.667,0.018,15.667,63.8,102.96,8021.35,512,1,8124.3,5632.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,expected_attn_512,15.771,0.033,15.771,63.4,102.9,8074.76,512,1,8177.65,5632.6,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,1,full_cache,15.034,0.017,15.034,66.5,103.11,7697.59,512,1,7800.69,5632.5,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,4,full_cache,19.09,0.021,4.773,209.5,381.96,9774.17,512,1,10156.13,12641.3,3422752768,196608,24,32,64,8192,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,16,full_cache,63.037,0.024,3.94,253.8,1555.73,32274.85,512,1,33830.58,40676.6,3422752768,196608,24,32,64,8192,flash_attention_2
