gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,512,1,full_cache,23.733,0.217,23.733,42.1,27.68,12151.23,512,1,12178.91,2209.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,1024,1,full_cache,23.838,0.279,23.838,42.0,27.83,12204.81,512,1,12232.64,2479.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,2048,1,full_cache,24.093,0.412,24.093,41.5,30.12,12335.86,512,1,12365.97,3019.7,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,4096,1,full_cache,23.823,0.074,23.823,42.0,40.64,12197.57,512,1,12238.21,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,1,full_cache,25.932,0.161,25.932,38.6,70.61,13277.22,512,1,13347.83,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,16384,1,full_cache,26.392,0.11,26.392,37.9,131.21,13512.54,512,1,13643.75,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,32768,1,full_cache,26.788,0.249,26.788,37.3,261.59,13715.49,512,1,13977.08,19227.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,4096,1,full_cache,26.764,0.272,26.764,37.4,42.17,13703.35,512,1,13745.51,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,4096,1,window_512,28.849,0.623,28.849,34.7,43.44,14770.52,512,1,14813.96,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,4096,1,snapkv_512,27.611,0.16,27.611,36.2,42.27,14136.67,512,1,14178.94,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,1,full_cache,25.622,0.185,25.622,39.0,70.67,13118.68,512,1,13189.35,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,1,window_512,27.307,0.084,27.307,36.6,71.22,13981.39,512,1,14052.61,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,1,snapkv_512,27.261,0.13,27.261,36.7,71.24,13957.55,512,1,14028.79,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,16384,1,full_cache,25.426,0.049,25.426,39.3,130.81,13018.03,512,1,13148.84,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,16384,1,window_512,27.267,0.14,27.267,36.7,131.57,13960.79,512,1,14092.36,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,16384,1,snapkv_512,27.285,0.084,27.285,36.7,131.57,13969.74,512,1,14101.31,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,1,full_cache,27.691,2.132,27.691,36.1,71.12,14177.63,512,1,14248.74,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,4,full_cache,27.383,1.278,6.846,146.1,236.95,14020.24,512,1,14257.19,19227.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,google/gemma-3-1b-it,8192,16,full_cache,24.949,0.339,1.559,641.3,914.76,12773.95,512,1,13688.71,71092.2,1999771904,26624,26,1,256,32768,flash_attention_2
