gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,google/gemma-3-1b-it,512,1,full_cache,29.413,0.233,29.413,34.0,33.6,15059.39,512,1,15092.98,2209.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,1024,1,full_cache,29.433,0.058,29.433,34.0,34.11,15069.8,512,1,15103.91,2479.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,2048,1,full_cache,29.169,0.169,29.169,34.3,34.67,14934.6,512,1,14969.26,3019.7,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,4096,1,full_cache,29.03,0.253,29.03,34.4,41.72,14863.56,512,1,14905.28,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,1,full_cache,29.381,0.033,29.381,34.0,67.73,15042.92,512,1,15110.65,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,16384,1,full_cache,29.362,0.075,29.362,34.1,123.18,15033.19,512,1,15156.36,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,32768,1,full_cache,29.388,0.039,29.388,34.0,245.33,15046.45,512,1,15291.78,19227.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,4096,1,full_cache,29.323,0.064,29.323,34.1,41.97,15013.25,512,1,15055.22,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,4096,1,window_512,31.54,0.088,31.54,31.7,43.25,16148.63,512,1,16191.89,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,4096,1,snapkv_512,31.446,0.264,31.446,31.8,43.5,16100.45,512,1,16143.95,4105.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,1,full_cache,28.658,0.012,28.658,34.9,67.93,14672.67,512,1,14740.61,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,1,window_512,31.356,0.449,31.356,31.9,69.14,16054.04,512,1,16123.18,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,1,snapkv_512,30.578,0.014,30.578,32.7,68.8,15655.88,512,1,15724.67,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,16384,1,full_cache,28.472,0.025,28.472,35.1,123.3,14577.62,512,1,14700.91,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,16384,1,window_512,30.391,0.154,30.391,32.9,124.18,15560.4,512,1,15684.58,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,16384,1,snapkv_512,30.593,0.441,30.593,32.7,124.35,15663.86,512,1,15788.22,10583.3,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,1,full_cache,28.667,0.109,28.667,34.9,68.02,14677.5,512,1,14745.52,6261.2,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,4,full_cache,27.717,0.323,6.929,144.3,221.95,14191.16,512,1,14413.11,19227.4,1999771904,26624,26,1,256,32768,flash_attention_2
NVIDIA H200,H200,google/gemma-3-1b-it,8192,16,full_cache,27.535,0.456,1.721,581.1,856.91,14098.05,512,1,14954.96,71092.2,1999771904,26624,26,1,256,32768,flash_attention_2
