gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,512,1,full_cache,38.374,0.189,38.374,26.1,89.34,19647.26,512,1,19736.6,28176.2,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,1024,1,full_cache,39.396,0.989,39.396,25.4,156.01,20170.66,512,1,20326.67,28378.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,2048,1,full_cache,39.232,1.277,39.232,25.5,296.01,20087.0,512,1,20383.01,28780.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,4096,1,full_cache,39.265,0.693,39.265,25.5,596.04,20103.73,512,1,20699.76,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,full_cache,40.753,0.104,40.753,24.5,1246.32,20865.41,512,1,22111.74,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,16384,1,full_cache,46.557,0.76,46.557,21.5,2744.71,23837.25,512,1,26581.96,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,4096,1,full_cache,39.578,0.63,39.578,25.3,596.47,20263.84,512,1,20860.32,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,4096,1,window_512,41.997,0.203,41.997,23.8,595.09,21502.54,512,1,22097.63,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,4096,1,snapkv_512,42.101,0.064,42.101,23.8,595.08,21555.67,512,1,22150.75,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,4096,1,expected_attn_512,44.14,0.719,44.14,22.7,596.2,22599.92,512,1,23196.12,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,full_cache,40.889,0.113,40.889,24.5,1246.02,20935.12,512,1,22181.14,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,window_512,42.039,0.257,42.039,23.8,1247.98,21523.72,512,1,22771.7,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,snapkv_512,42.409,0.231,42.409,23.6,1247.79,21713.58,512,1,22961.37,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,expected_attn_512,43.427,0.377,43.427,23.0,1248.15,22234.43,512,1,23482.58,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,16384,1,full_cache,46.159,0.043,46.159,21.7,2746.57,23633.55,512,1,26380.13,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,16384,1,window_512,43.136,0.195,43.136,23.2,2743.82,22085.71,512,1,24829.52,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,16384,1,snapkv_512,43.761,1.001,43.761,22.9,2743.7,22405.6,512,1,25149.3,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,16384,1,expected_attn_512,43.966,0.631,43.966,22.7,2742.08,22510.71,512,1,25252.79,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,1,full_cache,40.703,0.119,40.703,24.6,1248.64,20839.95,512,1,22088.59,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A100-SXM4-80GB,A100_80GB,microsoft/phi-4,8192,4,full_cache,52.79,0.005,13.197,75.8,4993.04,27028.39,512,1,32021.44,40961.2,29319014400,204800,40,10,128,16384,flash_attention_2
