gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA A40,A40,microsoft/phi-4,512,1,full_cache,66.748,0.033,66.748,15.0,166.33,34175.0,512,1,34341.34,28175.7,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,1024,1,full_cache,67.259,0.046,67.259,14.9,317.04,34436.83,512,1,34753.87,28378.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,2048,1,full_cache,68.113,0.046,68.113,14.7,630.59,34873.82,512,1,35504.41,28780.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,4096,1,full_cache,69.977,0.21,69.977,14.3,1290.54,35827.98,512,1,37118.51,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,full_cache,73.475,0.338,73.475,13.6,2698.97,37619.02,512,1,40317.99,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,16384,1,full_cache,82.388,0.094,82.388,12.1,5970.68,42182.72,512,1,48153.4,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,4096,1,full_cache,70.23,0.446,70.23,14.2,1291.67,35957.78,512,1,37249.45,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,4096,1,window_512,72.803,0.315,72.803,13.7,1288.04,37275.28,512,1,38563.32,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,4096,1,snapkv_512,73.046,0.068,73.046,13.7,1293.02,37399.43,512,1,38692.45,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,4096,1,expected_attn_512,73.462,0.59,73.462,13.6,1291.85,37612.41,512,1,38904.26,29592.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,full_cache,73.482,0.126,73.482,13.6,2699.4,37622.85,512,1,40322.25,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,window_512,73.279,0.144,73.279,13.6,2693.11,37518.99,512,1,40212.1,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,snapkv_512,73.576,0.134,73.576,13.6,2692.3,37670.68,512,1,40362.98,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,expected_attn_512,73.994,0.196,73.994,13.5,2689.31,37884.93,512,1,40574.24,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,16384,1,full_cache,82.54,0.257,82.54,12.1,5957.8,42260.71,512,1,48218.51,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,16384,1,window_512,74.322,0.163,74.322,13.5,5932.21,38052.65,512,1,43984.86,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,16384,1,snapkv_512,74.727,0.037,74.727,13.4,5940.25,38260.16,512,1,44200.41,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,16384,1,expected_attn_512,75.29,0.231,75.29,13.3,5930.59,38548.59,512,1,44479.18,34465.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,1,full_cache,74.14,0.746,74.14,13.5,2700.5,37959.69,512,1,40660.2,31217.0,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA A40,A40,microsoft/phi-4,8192,4,full_cache,99.045,0.001,24.761,40.4,10856.41,50711.18,512,1,61567.59,40961.2,29319014400,204800,40,10,128,16384,flash_attention_2
