gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,512,1,full_cache,26.207,0.063,26.207,38.2,43.1,13417.78,512,1,13460.88,28199.6,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,1024,1,full_cache,26.105,0.001,26.105,38.3,68.51,13365.78,512,1,13434.29,28402.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,2048,1,full_cache,26.051,0.04,26.051,38.4,130.49,13338.14,512,1,13468.63,28804.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,4096,1,full_cache,26.071,0.055,26.071,38.4,257.59,13348.44,512,1,13606.03,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,full_cache,26.997,0.055,26.997,37.0,542.71,13822.28,512,1,14365.0,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,16384,1,full_cache,29.848,0.062,29.848,33.5,1235.35,15282.22,512,1,16517.57,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,4096,1,full_cache,26.111,0.063,26.111,38.3,257.89,13368.66,512,1,13626.55,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,4096,1,window_512,29.604,0.097,29.604,33.8,258.11,15157.42,512,1,15415.53,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,4096,1,snapkv_512,29.881,0.066,29.881,33.5,259.37,15298.92,512,1,15558.29,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,4096,1,expected_attn_512,30.45,0.109,30.45,32.8,259.6,15590.56,512,1,15850.17,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,full_cache,29.863,0.807,29.863,33.5,549.96,15289.74,512,1,15839.7,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,window_512,31.64,0.192,31.64,31.6,546.7,16199.58,512,1,16746.28,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,snapkv_512,32.844,0.525,32.844,30.4,550.64,16816.36,512,1,17367.0,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,expected_attn_512,33.326,0.585,33.326,30.0,548.61,17063.14,512,1,17611.76,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,16384,1,full_cache,32.101,0.558,32.101,31.2,1243.24,16435.63,512,1,17678.87,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,16384,1,window_512,32.062,0.075,32.062,31.2,1239.49,16415.6,512,1,17655.1,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,16384,1,snapkv_512,33.034,0.494,33.034,30.3,1246.25,16913.49,512,1,18159.74,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,16384,1,expected_attn_512,33.084,0.281,33.084,30.2,1243.37,16938.78,512,1,18182.15,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,1,full_cache,29.397,0.027,29.397,34.0,546.46,15051.04,512,1,15597.5,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H100 80GB HBM3,H100_SXM,microsoft/phi-4,8192,4,full_cache,34.816,0.4,8.704,114.9,2198.54,17825.74,512,1,20024.28,40985.0,29319014400,204800,40,10,128,16384,flash_attention_2
