gpu_name,hardware_key,model_name,context_length,batch_size,strategy,mean_ms_per_step,std_ms_per_step,mean_ms_per_token,throughput_tok_per_sec,prefill_ms,total_decode_ms,num_decode_steps,num_warmup_runs,total_generate_ms,peak_memory_mb,param_bytes,kv_bytes_per_token,num_layers,num_kv_heads,head_dim,max_context,attention_impl_actual
NVIDIA H200,H200,microsoft/phi-4,512,1,full_cache,29.304,0.056,29.304,34.1,44.3,15003.59,512,1,15047.89,28199.6,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,1024,1,full_cache,29.296,0.027,29.296,34.1,68.43,14999.33,512,1,15067.76,28402.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,2048,1,full_cache,29.303,0.044,29.303,34.1,129.73,15002.91,512,1,15132.64,28804.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,4096,1,full_cache,29.337,0.033,29.337,34.1,255.8,15020.71,512,1,15276.5,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,full_cache,29.357,0.053,29.357,34.1,538.07,15030.82,512,1,15568.89,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,16384,1,full_cache,31.929,0.057,31.929,31.3,1233.65,16347.43,512,1,17581.08,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,4096,1,full_cache,30.433,0.69,30.433,32.9,256.22,15581.95,512,1,15838.17,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,4096,1,window_512,33.364,0.057,33.364,30.0,256.04,17082.58,512,1,17338.62,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,4096,1,snapkv_512,33.451,0.038,33.451,29.9,257.12,17126.86,512,1,17383.98,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,4096,1,expected_attn_512,33.751,0.091,33.751,29.6,256.39,17280.61,512,1,17537.0,29616.8,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,full_cache,29.76,0.037,29.76,33.6,539.91,15237.27,512,1,15777.18,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,window_512,33.152,0.016,33.152,30.2,540.49,16973.68,512,1,17514.17,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,snapkv_512,33.386,0.071,33.386,30.0,541.01,17093.84,512,1,17634.84,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,expected_attn_512,33.915,0.028,33.915,29.5,539.95,17364.26,512,1,17904.21,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,16384,1,full_cache,32.163,0.043,32.163,31.1,1236.21,16467.64,512,1,17703.85,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,16384,1,window_512,33.531,0.004,33.531,29.8,1234.74,17168.12,512,1,18402.86,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,16384,1,snapkv_512,33.744,0.069,33.744,29.6,1235.37,17277.02,512,1,18512.39,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,16384,1,expected_attn_512,34.043,0.115,34.043,29.4,1235.52,17430.12,512,1,18665.63,34488.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,1,full_cache,29.551,0.012,29.551,33.8,540.21,15130.33,512,1,15670.54,31240.9,29319014400,204800,40,10,128,16384,flash_attention_2
NVIDIA H200,H200,microsoft/phi-4,8192,4,full_cache,32.164,0.002,8.041,124.4,2196.17,16467.73,512,1,18663.9,40985.0,29319014400,204800,40,10,128,16384,flash_attention_2
